Name,Gender,Grade,Math,Science,English,Total
"""Zara""",Female,4,61 marks,98 marks,76.0,235
ADITI,Female,6,32,25 marks,27,84
Advika,female,11,73 marks,39,3,115
'Vihaan',M,5,100.0,67,41.0,208
"""Kabir""",  M  ,Grade 12,98 marks,21,37.0,156
"""Advika""",male,09,74,64 marks,72,210
MYRA,0,10,1.0,50,13.0,64
DIYA,  F  ,11,93 marks,88,29 marks,210
"""Ishaan""",  F  ,04,94.0,16 marks,87,197
ANIKA,male,09,88,23 marks,72,183
'Advika',  F  ,08,10,32,62.0,104
"""Ananya""",1,07,73,52,17.0,142
'Myra',F,2,17 marks,92.0,74.0,183
ARYAN,m,01,83.0,95 marks,41,219
"""Advika""",  M  ,03,88,79 marks,30,197
"""Aditi""",f,11,85,40.0,15,140
ADVIKA,female,11,75 marks,25 marks,69 marks,169
KABIR,Female,10,24,51,100 marks,175
'Aryan',m,1,87,61,97.0,245
"""Saanvi""",female,Grade 1,79,61 marks,17 marks,157
"""Ananya""",  F  ,Grade 2,48 marks,2.0,75 marks,125
AARAV,  M  ,05,96.0,8,98 marks,202
'Vihaan',m,Grade 3,18,50,3.0,71
Anika,m,Grade 5,83.0,70 marks,58 marks,211
'Aarav',  F  ,6,31 marks,56 marks,99,186
Aditi,M,12,18 marks,81,57.0,156
AARAV,m,Grade 2,51 marks,24 marks,34.0,109
Myra,male,12,70 marks,99,31 marks,200
"""Ananya""",f,03,63 marks,91 marks,55 marks,209
SAANVI,  M  ,05,31,98,59.0,188
"""Aryan""",F,Grade 7,55 marks,93.0,64 marks,212
Ishaan,f,10,69,90.0,92 marks,251
ADITI,f,08,8 marks,22.0,84,114
ADVIKA,Male,3,39 marks,86,3.0,128
Zara,Male,Grade 10,27,69.0,63,159
ISHAAN,0,Grade 2,88.0,62,60 marks,210
Saanvi,M,2,75,16.0,74,165
'Aarav',female,3,50 marks,31.0,70,151
"""Krishna""",female,4,91,11,14.0,116
Ishaan,male,1,80,67.0,12,159
ARYAN,m,12,79.0,87,98,264
'Krishna',  M  ,Grade 5,26 marks,95.0,40.0,161
'Ananya',male,07,73.0,67.0,73 marks,213
Shaurya,Male,09,97 marks,49,43.0,189
Aditi,male,09,15,53,100,168
'Anika',Male,02,74 marks,69 marks,97 marks,240
"""Myra""",1,10,95.0,62.0,4,161
"""Arjun""",male,3,38 marks,14 marks,97.0,149
ISHAAN,M,11,100.0,63.0,4,167
KRISHNA,0,Grade 1,2,31.0,35 marks,68
ARJUN,M,Grade 8,15.0,2.0,100.0,117
Ananya,F,12,82.0,90.0,30 marks,202
"""Diya""",Female,Grade 2,67.0,2,76.0,145
KABIR,male,Grade 9,41.0,53,71,165
"""Reyansh""",F,08,51.0,23 marks,59.0,133
Arjun,F,Grade 3,77.0,10.0,55.0,142
'Isha',male,4,56.0,77 marks,11.0,144
AARAV,F,2,66.0,97 marks,11,174
'Isha',  F  ,Grade 5,60.0,22.0,34,116
'Aryan',m,Grade 1,48,47.0,97.0,192
"""Aarav""",Female,4,31.0,7.0,1.0,39
"""Rohan""",Male,1,10 marks,9 marks,57.0,76
ADVIKA,1,10,22,79 marks,24 marks,125
REYANSH,1,9,44.0,73,79.0,196
'Vihaan',female,9,20 marks,60.0,54,134
"""Shaurya""",Male,3,27,3,13 marks,43
MYRA,  F  ,01,31,73,67 marks,171
Isha,M,Grade 12,23,99,92 marks,214
'Zara',Female,12,5 marks,100 marks,16 marks,121
Aditi,Male,3,100.0,29.0,83,212
"""Myra""",f,01,99 marks,66.0,61.0,226
'Aryan',female,Grade 7,48,3 marks,83 marks,134
ARYAN,f,Grade 9,78.0,12.0,48 marks,138
'Ishaan',female,Grade 2,74,52.0,97.0,223
KRISHNA,m,10,20 marks,47 marks,3.0,70
"""Isha""",0,5,15,8,94 marks,117
"""Anika""",  M  ,5,43,98 marks,66.0,207
'Saanvi',M,Grade 2,2.0,37,79.0,118
KRISHNA,1,03,64 marks,68,37 marks,169
'Ananya',Male,06,1,60.0,92,153
"""Vihaan""",  M  ,01,94.0,64,65 marks,223
'Arjun',  M  ,6,65 marks,88.0,51 marks,204
Isha,0,Grade 2,12 marks,91,81,184
"""Ishaan""",Male,05,18,34.0,7.0,59
DIYA,  F  ,3,74,95 marks,50.0,219
"""Myra""",1,05,100 marks,25,54,179
Advika,Male,5,17.0,75,13,105
"""Kabir""",m,6,37,83 marks,57,177
ADITI,male,12,90 marks,90 marks,28,208
"""Myra""",m,09,46,56 marks,28,130
"""Aditi""",Male,07,66 marks,82 marks,39 marks,187
Shaurya,M,Grade 7,3.0,23,17.0,43
Vihaan,0,4,53 marks,37.0,19.0,109
SAANVI,f,Grade 4,3.0,59,14,76
"""Myra""",male,Grade 3,22.0,81,66,169
KABIR,Female,Grade 3,97 marks,4.0,59.0,160
"""Advika""",m,5,18,82,32 marks,132
'Ananya',F,12,56,56 marks,89,201
ROHAN,m,Grade 6,60 marks,56,71.0,187
"""Aditi""",Female,07,73,21 marks,23.0,117
Shaurya,  F  ,06,88.0,9,67.0,164
MYRA,F,Grade 9,12 marks,64 marks,5,81
"""Diya""",1,Grade 2,9.0,9 marks,43.0,61
"""Navya""",Female,03,65 marks,31 marks,25,121
ZARA,F,09,60.0,48 marks,24.0,132
"""Ananya""",0,Grade 5,42 marks,99 marks,95 marks,236
Advika,1,Grade 6,35,7.0,19.0,61
"""Ananya""",1,Grade 4,89 marks,39.0,100,228
'Isha',M,3,66,90,94.0,250
Ishaan,f,11,83,66,36.0,185
"""Myra""",male,2,31.0,97.0,29.0,157
'Anika',F,03,94,1.0,41.0,136
ANANYA,Female,03,40.0,89.0,44.0,173
Myra,M,11,90 marks,17,73,180
KRISHNA,0,04,54 marks,62.0,15 marks,131
'Aarav',male,7,41,45,55.0,141
"""Advika""",m,06,26.0,70.0,75.0,171
Zara,F,Grade 3,23.0,70,61 marks,154
'Kabir',  M  ,Grade 6,28 marks,27,100 marks,155
'Aarav',female,Grade 5,70,70.0,89,229
Shaurya,f,01,55,63.0,49 marks,167
"""Kabir""",Male,12,32,28 marks,99,159
"""Diya""",1,06,27,91 marks,90,208
'Rohan',1,05,43.0,4.0,51.0,98
"""Ananya""",m,Grade 9,58 marks,87,98 marks,243
"""Vihaan""",  F  ,12,86,46 marks,96,228
Navya,M,Grade 1,63,56.0,62.0,181
'Aditi',0,2,44 marks,51,69 marks,164
"""Anika""",Male,Grade 9,70.0,92,91,253
Shaurya,  F  ,10,38 marks,14.0,71 marks,123
"""Aarav""",M,12,69,75.0,26.0,170
'Advika',Female,Grade 12,91.0,70.0,74.0,235
KRISHNA,F,Grade 10,98 marks,84.0,97,279
"""Aryan""",0,01,89,44 marks,99,232
DIYA,F,Grade 12,63 marks,86,68.0,217
ISHAAN,M,09,66.0,5.0,48.0,119
'Aryan',female,04,87,43 marks,77.0,207
"""Advika""",M,Grade 9,46 marks,54.0,72,172
ISHA,  F  ,09,9,63.0,56 marks,128
Vihaan,f,Grade 10,56 marks,29 marks,15 marks,100
'Zara',f,4,37,95,35 marks,167
'Kabir',f,03,18 marks,59 marks,9.0,86
'Aditi',F,11,45,71.0,5,121
"""Arjun""",f,Grade 12,4.0,43 marks,80.0,127
Kabir,F,7,53.0,2 marks,97 marks,152
NAVYA,female,4,61,80.0,77 marks,218
'Aryan',male,11,21,38 marks,73 marks,132
'Navya',f,06,6,13.0,13 marks,32
ANIKA,f,08,57,69 marks,42.0,168
"""Reyansh""",Male,11,52,21 marks,85,158
"""Zara""",Female,10,94 marks,34.0,34.0,162
'Rohan',  M  ,09,39,88.0,46.0,173
'Advika',M,01,51.0,14.0,23,88
'Ishaan',  F  ,8,34 marks,1 marks,59,94
"""Kabir""",male,11,29,95.0,29.0,153
'Krishna',F,3,50.0,80.0,0 marks,130
"""Vihaan""",F,Grade 4,47.0,41 marks,24.0,112
"""Aryan""",male,04,96 marks,90,61.0,247
'Saanvi',female,12,27 marks,84.0,94.0,205
Diya,m,05,16,34.0,87.0,137
Vihaan,male,Grade 7,51.0,97.0,31.0,179
"""Vihaan""",female,Grade 7,53.0,29.0,21 marks,103
REYANSH,male,Grade 1,33,36,86,155
Arjun,Male,Grade 10,57,54.0,42,153
REYANSH,f,3,33.0,28.0,36.0,97
Aarav,1,2,46,72.0,44,162
Reyansh,Male,Grade 7,38 marks,8,69 marks,115
ANIKA,female,12,11.0,49.0,90,150
VIHAAN,M,11,68 marks,56.0,17 marks,141
'Aryan',Female,12,28 marks,72 marks,72,172
Advika,f,04,55,9.0,82 marks,146
Anika,male,02,77.0,24,4 marks,105
'Isha',F,Grade 6,60 marks,80,20.0,160
Rohan,F,10,62,9 marks,75 marks,146
'Vihaan',F,6,20.0,94 marks,51 marks,165
'Aditi',Female,04,63.0,59 marks,39.0,161
Aarav,f,08,89.0,33 marks,12 marks,134
Isha,Male,Grade 6,0.0,68 marks,14.0,82
'Aarav',f,Grade 11,16 marks,78.0,71.0,165
'Kabir',f,Grade 2,83,68 marks,5 marks,156
ROHAN,m,3,39,49.0,6,94
'Zara',  M  ,12,43,26,94 marks,163
AARAV,0,Grade 3,74 marks,73,45 marks,192
'Ishaan',0,Grade 10,6,49.0,70,125
'Zara',  F  ,Grade 5,22,28.0,13,63
"""Kabir""",  M  ,Grade 12,20 marks,14,66,100
"""Advika""",F,9,53.0,36 marks,8 marks,97
"""Arjun""",F,11,24 marks,55 marks,46.0,125
'Anika',0,07,12 marks,81 marks,71 marks,164
Myra,0,08,65 marks,18.0,75 marks,158
'Rohan',m,Grade 9,42.0,33.0,12.0,87
Advika,0,03,46.0,18 marks,53 marks,117
"""Krishna""",M,Grade 4,37,3,0,40
ANANYA,f,Grade 7,47.0,19 marks,63.0,129
KABIR,male,2,19 marks,46.0,43,108
'Arjun',male,03,55,24,84 marks,163
'Saanvi',female,5,23.0,81,37 marks,141
Aarav,  F  ,5,82 marks,98.0,51.0,231
ARJUN,f,12,14,50 marks,23.0,87
'Aryan',1,06,81.0,79.0,38 marks,198
Kabir,F,09,46.0,48.0,82.0,176
Isha,m,Grade 9,91 marks,73,22 marks,186
Myra,F,10,15,2.0,12,29
"""Arjun""",male,Grade 1,69.0,85,52 marks,206
Myra,Male,Grade 7,44 marks,12 marks,31 marks,87
ISHAAN,1,10,77.0,87 marks,5 marks,169
Saanvi,1,02,77,23,73.0,173
DIYA,  F  ,5,55 marks,19,89 marks,163
Myra,0,Grade 7,79 marks,40.0,78.0,197
ROHAN,male,07,74.0,81.0,22 marks,177
Myra,female,Grade 1,73 marks,96 marks,60,229
"""Kabir""",M,Grade 3,66.0,26,64.0,156
ARJUN,0,10,65.0,68 marks,80,213
'Aditi',F,1,92,90,93,275
"""Rohan""",m,1,14.0,76.0,68 marks,158
MYRA,M,Grade 4,24 marks,75 marks,92.0,191
"""Ananya""",  F  ,3,7.0,52 marks,13 marks,72
'Arjun',male,Grade 12,28.0,9.0,23.0,60
"""Rohan""",0,1,65 marks,64,58.0,187
DIYA,M,04,48,31,14,93
"""Aarav""",male,Grade 9,26.0,25 marks,97,148
'Vihaan',1,10,45.0,34 marks,94.0,173
ARJUN,1,07,11 marks,16.0,43 marks,70
"""Advika""",1,Grade 5,76 marks,57,37,170
Reyansh,0,07,93.0,78,5 marks,176
Saanvi,  F  ,Grade 11,19 marks,76,46,141
Zara,male,12,90,34,54.0,178
'Shaurya',0,08,14.0,57 marks,40.0,111
Aarav,M,12,80 marks,27.0,79 marks,186
'Rohan',female,08,60,62,92 marks,214
Aditi,F,06,76 marks,63,87.0,226
Arjun,0,11,18.0,3 marks,76 marks,97
'Zara',m,12,83,98,83.0,264
"""Ishaan""",M,3,33.0,47.0,52,132
"""Myra""",f,6,93,60,87,240
"""Advika""",Male,08,86.0,16 marks,86,188
"""Isha""",male,4,63,78,56,197
Ishaan,F,Grade 4,41.0,61.0,69 marks,171
Rohan,m,Grade 9,37,46,36,119
Diya,  F  ,11,100,40,3,143
Aditi,male,6,65 marks,23.0,55.0,143
Vihaan,Female,Grade 11,90,50,67 marks,207
Rohan,female,01,63 marks,55,31.0,149
'Anika',Male,10,87 marks,14 marks,34,135
"""Kabir""",1,04,99 marks,13.0,84,196
"""Arjun""",  F  ,Grade 11,71,37 marks,99.0,207
'Aditi',  F  ,06,42 marks,17.0,33 marks,92
Reyansh,Male,Grade 3,11 marks,70 marks,50 marks,131
"""Arjun""",0,Grade 7,87 marks,100.0,12.0,199
KABIR,Female,Grade 9,77 marks,36.0,16 marks,129
"""Myra""",1,2,91.0,64.0,68.0,223
'Krishna',f,09,0.0,52.0,79.0,131
"""Navya""",male,2,49,34.0,95.0,178
"""Aarav""",male,7,21,10 marks,47 marks,78
"""Ishaan""",F,6,45 marks,93 marks,27 marks,165
'Ishaan',m,Grade 8,56.0,28.0,73.0,157
Myra,1,Grade 12,87.0,41.0,31,159
VIHAAN,male,Grade 12,96.0,46 marks,69 marks,211
"""Anika""",M,Grade 9,11,81.0,37 marks,129
'Shaurya',Male,8,44,62.0,51,157
"""Vihaan""",0,Grade 1,55.0,94,10 marks,159
"""Saanvi""",0,3,50.0,4.0,6,60
'Diya',  M  ,Grade 5,16.0,96.0,5.0,117
'Aryan',M,8,78.0,59 marks,4,141
'Aditi',F,Grade 4,5 marks,97.0,79 marks,181
"""Advika""",female,03,55,38.0,45.0,138
'Arjun',f,03,32.0,79,19.0,130
ANIKA,  M  ,6,32,9.0,63,104
Zara,Female,07,27,14,45.0,86
"""Isha""",m,Grade 4,79 marks,84 marks,39.0,202
'Vihaan',m,01,4 marks,48,45,97
'Aarav',Male,9,69 marks,56,11 marks,136
'Reyansh',f,Grade 5,74,60.0,18,152
'Rohan',1,Grade 4,54 marks,70.0,42,166
'Ananya',m,Grade 6,67 marks,45,61 marks,173
Aarav,1,Grade 8,99,79,44,222
Aditi,m,3,14.0,15,74,103
"""Reyansh""",f,12,42 marks,67.0,27,136
"""Zara""",Male,11,63.0,66.0,86.0,215
'Ananya',M,2,55,77,3 marks,135
ANANYA,Male,Grade 6,68 marks,45,75,188
'Shaurya',m,7,57 marks,59.0,63.0,179
"""Shaurya""",m,Grade 10,16 marks,78 marks,47 marks,141
SHAURYA,f,Grade 1,72.0,20.0,69 marks,161
VIHAAN,m,07,25.0,99 marks,8 marks,132
Advika,  F  ,11,43,96,92 marks,231
"""Arjun""",Female,03,10.0,74,62.0,146
SAANVI,Male,02,26,37 marks,63,126
'Aryan',Male,7,59,19,63,141
"""Shaurya""",Female,08,29 marks,42 marks,19 marks,90
Diya,0,6,72 marks,22.0,34,128
"""Anika""",F,Grade 4,15 marks,60.0,41,116
"""Arjun""",female,7,67,58 marks,15 marks,140
"""Reyansh""",Male,Grade 4,28,39.0,15,82
'Myra',  F  ,12,95,98,46,239
"""Ishaan""",m,07,90,97,77,264
'Myra',Female,Grade 1,20 marks,37.0,17 marks,74
'Saanvi',  M  ,01,67 marks,15 marks,54 marks,136
KRISHNA,Male,Grade 1,63,32.0,14,109
Krishna,m,08,94,94 marks,40.0,228
SAANVI,male,9,80,98 marks,79 marks,257
Aryan,f,5,78 marks,2.0,35 marks,115
"""Saanvi""",Male,02,37,10 marks,24,71
Shaurya,Male,12,50.0,53,34,137
"""Arjun""",1,4,42.0,62,55.0,159
DIYA,1,8,24.0,51.0,82 marks,157
'Anika',Male,9,4.0,80.0,64.0,148
Krishna,male,Grade 9,31,21.0,89.0,141
"""Ishaan""",  M  ,01,49.0,69,5.0,123
'Zara',1,Grade 7,27.0,8.0,46.0,81
DIYA,f,Grade 6,72,2.0,44.0,118
NAVYA,f,9,100 marks,45.0,1 marks,146
MYRA,f,04,57.0,13 marks,20 marks,90
'Myra',M,4,98,70,57 marks,225
'Ananya',m,10,8.0,49 marks,0 marks,57
ARJUN,male,08,13 marks,34,24,71
'Isha',1,Grade 9,43 marks,97.0,80 marks,220
"""Anika""",male,Grade 5,34 marks,50 marks,76.0,160
'Advika',0,7,75.0,65 marks,60,200
"""Navya""",M,Grade 1,64,3.0,59,126
VIHAAN,F,2,58 marks,50,41.0,149
Aarav,Female,10,55.0,92 marks,94,241
Saanvi,male,4,62,17 marks,57,136
'Ishaan',f,8,25,98,48 marks,171
"""Isha""",male,Grade 1,37,29 marks,65,131
ARJUN,Female,Grade 12,81.0,5,64.0,150
"""Aditi""",male,3,33,67 marks,29.0,129
Ishaan,  F  ,08,42 marks,4.0,21 marks,67
"""Kabir""",  M  ,Grade 2,71,38.0,20.0,129
ARYAN,M,12,95 marks,72 marks,69 marks,236
SHAURYA,m,Grade 2,49,67,7.0,123
'Aditi',  F  ,10,30 marks,90.0,22,142
NAVYA,Female,12,48.0,35,76 marks,159
Aditi,M,Grade 10,25,90.0,99 marks,214
"""Isha""",M,03,14,61.0,92.0,167
Anika,m,02,98.0,88 marks,38,224
"""Rohan""",  F  ,Grade 5,91,63,9 marks,163
Aarav,female,05,51 marks,61,43 marks,155
Anika,0,01,37 marks,12.0,48 marks,97
AARAV,1,Grade 7,24,80.0,25.0,129
'Diya',m,9,51,57,7.0,115
Rohan,Female,08,63.0,67,9.0,139
Shaurya,M,Grade 8,54 marks,92,38 marks,184
ZARA,  M  ,05,45,72.0,56 marks,173
"""Navya""",1,07,94 marks,86 marks,79.0,259
Aarav,f,Grade 1,18 marks,40 marks,58.0,116
"""Zara""",female,02,84.0,63 marks,15.0,162
"""Diya""",M,Grade 10,23 marks,38.0,47.0,108
VIHAAN,Male,Grade 11,35 marks,27,41 marks,103
ARJUN,  M  ,12,39 marks,86 marks,79.0,204
"""Myra""",M,12,49.0,1 marks,41,91
Rohan,m,11,85 marks,11.0,17.0,113
Rohan,1,12,19.0,46,26 marks,91
Ishaan,  M  ,11,31 marks,29.0,12,72
KRISHNA,Female,09,31.0,68,72 marks,171
"""Saanvi""",  F  ,03,21.0,28,88,137
"""Diya""",  M  ,Grade 10,40 marks,30.0,37 marks,107
Krishna,F,06,21.0,61.0,60.0,142
ANIKA,  F  ,02,77,43.0,73 marks,193
ROHAN,0,Grade 10,28,81 marks,58.0,167
'Aarav',Male,5,53.0,68 marks,73,194
"""Myra""",1,6,4 marks,81.0,31.0,116
'Kabir',0,Grade 3,71,82 marks,79,232
'Ananya',male,Grade 11,18,22 marks,96 marks,136
ARJUN,1,Grade 5,13 marks,12 marks,17 marks,42
Reyansh,Male,Grade 4,33,78 marks,50,161
'Rohan',  M  ,08,68,17.0,49,134
'Navya',f,12,11,82,37 marks,130
'Myra',female,9,34.0,75,41.0,150
ANIKA,0,7,41 marks,38,58 marks,137
Arjun,  F  ,09,82 marks,100,32,214
"""Vihaan""",M,05,55.0,20.0,26,101
ANIKA,female,08,18 marks,94,14.0,126
"""Rohan""",Male,Grade 1,19.0,97 marks,82.0,198
"""Rohan""",M,09,68,16 marks,22,106
'Aryan',M,Grade 6,94.0,2.0,17,113
ADITI,f,Grade 9,71,2 marks,96,169
'Aryan',F,4,26 marks,5.0,92 marks,123
"""Aditi""",female,Grade 5,26 marks,9.0,39,74
VIHAAN,  F  ,8,98.0,53.0,59 marks,210
ZARA,m,5,93.0,20.0,68 marks,181
"""Aarav""",female,05,41.0,16,86 marks,143
ANANYA,f,Grade 7,53.0,20,51 marks,124
REYANSH,f,07,78,33 marks,65 marks,176
"""Myra""",0,Grade 1,51.0,60.0,49,160
'Krishna',m,Grade 4,20,40.0,82,142
ANANYA,0,10,32 marks,14,31,77
DIYA,f,12,21 marks,75,57,153
"""Reyansh""",m,Grade 6,4 marks,55 marks,45,104
'Aryan',1,Grade 3,77.0,2,74 marks,153
Krishna,male,02,92,26 marks,17.0,135
"""Arjun""",male,5,80,2,50 marks,132
"""Ishaan""",  M  ,Grade 12,31 marks,22 marks,31.0,84
ARJUN,  M  ,03,83 marks,37,44.0,164
KABIR,male,04,76,12.0,20 marks,108
"""Vihaan""",F,7,58.0,47.0,56.0,161
Arjun,Female,Grade 11,69.0,7.0,4 marks,80
"""Kabir""",Male,08,87.0,48 marks,3,138
"""Zara""",0,7,92.0,83,56.0,231
Zara,0,11,64 marks,13,89 marks,166
ROHAN,M,05,15,71.0,87,173
"""Kabir""",Female,Grade 6,44 marks,81.0,76,201
"""Krishna""",female,12,19,13,29 marks,61
Anika,female,07,54,65,60,179
"""Advika""",1,04,47 marks,96,47 marks,190
REYANSH,  F  ,4,81 marks,49 marks,72 marks,202
"""Shaurya""",f,Grade 12,42.0,18 marks,92.0,152
ADVIKA,0,7,86,39 marks,28.0,153
REYANSH,M,7,60,90 marks,59,209
REYANSH,0,6,73,49,74.0,196
"""Shaurya""",male,Grade 11,31 marks,53.0,99.0,183
Anika,1,3,11 marks,41,13.0,65
"""Rohan""",Female,4,80 marks,17,51 marks,148
'Aarav',m,06,23.0,59.0,52,134
"""Shaurya""",1,Grade 10,32,67 marks,45 marks,144
'Advika',Female,12,76 marks,19,13.0,108
"""Aarav""",0,10,62.0,41,70,173
REYANSH,Male,6,100,59,89.0,248
SHAURYA,male,06,56,67 marks,74 marks,197
"""Rohan""",F,11,52 marks,85,92.0,229
"""Zara""",  M  ,11,56 marks,44 marks,92 marks,192
Shaurya,Male,Grade 10,61.0,25,60,146
"""Isha""",0,08,24 marks,83.0,58 marks,165
Navya,1,Grade 4,58.0,38 marks,59,155
Aryan,  F  ,Grade 12,57 marks,94,100.0,251
'Ishaan',M,01,38 marks,15.0,73.0,126
"""Ishaan""",F,Grade 2,8 marks,2 marks,3.0,13
SHAURYA,female,Grade 8,91.0,18.0,88.0,197
ANIKA,F,3,30.0,35,93,158
Navya,F,8,54.0,65.0,37 marks,156
'Vihaan',  F  ,Grade 8,12.0,22,2,36
"""Reyansh""",1,Grade 8,71,1.0,19,91
'Vihaan',Male,10,86,14.0,83,183
NAVYA,m,2,91,62,34,187
'Krishna',M,1,51.0,91 marks,65.0,207
Aryan,1,08,53,74,24 marks,151
'Aditi',M,Grade 4,34,66 marks,64.0,164
'Vihaan',  F  ,Grade 2,78 marks,91,66 marks,235
'Isha',0,Grade 8,23,84.0,26 marks,133
"""Kabir""",female,Grade 6,92,63.0,92 marks,247
"""Ananya""",m,05,62.0,94 marks,6 marks,162
'Diya',  M  ,Grade 8,90 marks,16,17.0,123
'Reyansh',female,10,11 marks,45,76 marks,132
'Ananya',female,5,59,75.0,31,165
Kabir,m,Grade 5,68.0,11.0,66.0,145
"""Anika""",Female,09,100 marks,29 marks,64.0,193
'Rohan',female,06,36.0,89,22.0,147
Ishaan,f,2,66,7 marks,34,107
ADVIKA,f,11,11 marks,65 marks,2 marks,78
"""Saanvi""",  F  ,09,22,76.0,0.0,98
ISHAAN,  M  ,11,85.0,13,78.0,176
"""Ananya""",  F  ,4,23 marks,48,78 marks,149
SHAURYA,  F  ,07,56.0,4.0,84 marks,144
'Ishaan',female,05,50 marks,96 marks,81,227
